net,domain_exact,best_k,gcd_k_n,phase_mae_deg,mean_abs_deg,q_odd_over_even,radius_parity_separation,f_decoder_acc,f_decoder_exact,q_decoder_acc,q_decoder_exact,q_certified,q_break_at,composition_acc,composition_exact,substitution_acc,substitution_exact,family
3,True,28,2,2.7536928284802986,4.127352493780887,0.3713832031040618,0.9167631563126826,0.5044444444444445,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
4,True,22,2,2.7630957215306298,4.141423896703579,0.3671596940638134,0.9257737902660085,0.5155555555555555,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
9,True,23,1,0.029080920022834095,0.04478628797791417,1.0156146082438715,0.015493644648146282,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
12,True,11,1,0.038023541450458755,0.06222233601978575,1.0113541801624464,0.01129008533099761,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
21,True,1,1,0.02829889466118749,0.04446056950050027,1.0011021383212375,0.0011015313013078543,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
22,True,7,1,0.028473465500587082,0.044378079600910725,1.0229128255493127,0.02265329999387471,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
23,True,19,1,0.0330303950327956,0.05205071404050423,0.983723186024026,0.016410368231464398,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
27,True,7,1,0.025433052673677473,0.04162873647680863,0.995399817461818,0.004610787770877327,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
29,True,11,1,0.03565884182241202,0.05980121139808594,0.9952493780733723,0.0047619329982850934,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
31,True,19,1,0.0324351741445816,0.05275418576888529,0.9939167767808305,0.006101782471574272,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
32,True,23,1,0.018727852732343956,0.03041017829158955,1.0069330204113156,0.0069090700494775096,1.0,True,,False,False,gcd_k_not_2,0.06666666666666667,False,1.0,True,FAMILY_F
33,True,11,1,0.02998161809459633,0.04826891796892847,1.0125085954245159,0.012430849192847676,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
43,True,26,2,2.7647099050283868,4.143839419942019,0.3652115313250612,0.9299488820737094,0.4866666666666667,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
48,True,4,2,2.7609469749829154,4.13820821708938,0.36640773444759356,0.927383898055221,0.47888888888888886,False,1.0,True,True,,0.3,False,0.5,False,FAMILY_Q
51,True,29,1,0.04609077682345292,0.07200682954664299,1.0096482847750425,0.009601963535746265,1.0,True,,False,False,gcd_k_not_2,0.2644444444444444,False,1.0,True,FAMILY_F
63,True,13,1,0.024034963047179482,0.03962038882693947,0.9904802609619431,0.009565268467878453,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
65,True,11,1,0.04205506374872586,0.06398770365017305,0.9964386220655331,0.0035677309536139975,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
70,True,22,2,2.7572970417146663,4.132746025627586,0.3624686095642428,0.9358474550685735,0.52,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
72,True,23,1,0.043003148283458005,0.06832022184660881,1.0043909155747897,0.004381296622999721,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
73,True,13,1,0.03839404387671372,0.06263840917078414,0.9956633974519902,0.0043460260418132,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
74,True,11,1,0.02706574416125839,0.04440250561096952,0.9824803415835172,0.017674483876585552,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
76,True,19,1,0.038206213806806666,0.060808826250435606,0.9999248118925654,7.519093416661656e-05,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
77,True,11,1,0.029565808621997265,0.045752078007418734,0.9921571302022867,0.007873746180771288,1.0,True,,False,False,gcd_k_not_2,0.26666666666666666,False,1.0,True,FAMILY_F
81,True,29,1,0.03223972079070407,0.050878265321667386,0.9984362164768167,0.0015650071894115797,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
84,True,29,1,0.03262946052278493,0.054245567738261176,0.9908283069218232,0.009213946824332523,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
86,True,19,1,0.03816204016964729,0.06149280426100255,1.0103657434697066,0.010312296161410281,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
88,True,23,1,0.023384569803255987,0.038103910811803185,1.011725086748505,0.011656748554501455,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
89,True,8,2,2.7541617103187614,4.128054100117664,0.36658442658866836,0.9270054027946053,0.5366666666666666,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
90,True,23,1,0.020130334043633336,0.033167364849299164,1.0006303802371803,0.0006301816101638829,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
95,True,7,1,0.029827817983382965,0.042862785748508325,1.0127434966588578,0.012662812405069833,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
98,True,19,1,0.033304173293037954,0.05360733577310578,0.9986273269490493,0.0013736158136555732,1.0,True,,False,False,gcd_k_not_2,0.1,False,1.0,True,FAMILY_F
99,True,29,1,0.039318199948549196,0.06574501049311615,1.0032078788360848,0.0032027418322141434,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
106,True,11,1,0.03973541903245229,0.06806624394648919,0.9871535138816349,0.012929535668606926,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
107,True,19,1,0.02947623257807609,0.04695682791081576,1.0084731935515439,0.008437447488717336,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
108,True,29,1,0.01820811739056078,0.030587021618348646,0.9857944991357039,0.01430712077254608,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
111,True,1,1,0.026073296801371507,0.040551541183834534,0.9899060830007712,0.010145118993763929,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
117,True,11,1,0.037462231920593676,0.06485134102813406,1.0080692606378472,0.008036834979769517,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
118,True,17,1,0.017523690470504,0.030476328557963745,1.007959250416168,0.007927701136881673,1.0,True,,False,False,gcd_k_not_2,0.1,False,1.0,True,FAMILY_F
119,True,7,1,0.024937000447431232,0.039117858334567004,0.9884672441215941,0.011599643808566231,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
120,True,19,1,0.018309101972372555,0.032893402231660464,0.9634951633144584,0.037183525956763754,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
121,True,14,2,2.7609846713942416,4.138264606900775,0.36314855281645797,0.9343830441190238,0.55,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
123,True,19,1,0.032512414807275625,0.05391403910779832,1.005608334742677,0.005592652010390082,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
124,True,11,1,0.020946963612063194,0.029843166118643738,0.9939269254380644,0.0060915718469486116,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
131,True,13,1,0.0230736302975598,0.03726152964116095,0.9851812243621568,0.01492939330272431,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
132,True,17,1,0.02646755498211832,0.04314951302472787,0.9767300328313824,0.023543900059318352,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
135,True,19,1,0.03871232171734932,0.06372270815267482,1.0157813995854914,0.015657848205898273,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
137,True,1,1,0.033959202909369525,0.050463422151455335,1.0026385109725433,0.0026350346885739414,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
139,True,8,2,2.760574477723019,4.137650460114695,0.3656934039069771,0.9289150760754908,0.48444444444444446,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
140,True,29,1,0.03696498866959289,0.06060125255587195,0.998274726921051,0.0017267626475037444,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
141,True,17,1,0.03897409103243108,0.06228399108190356,0.9930788863464741,0.006945147731922463,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
144,True,11,1,0.027439414431473658,0.044041187712517776,1.018012889174609,0.017852105178551663,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
145,True,23,1,0.01879407231048107,0.028867883961741468,0.9936879094349624,0.006332074880091441,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
147,True,29,1,0.043167023272558815,0.07318074427231352,0.99757997155172,0.002422960264664835,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
148,True,13,1,0.018991482329453118,0.027963106136981237,1.0444594921967165,0.04349266137716038,1.0,True,,False,False,gcd_k_not_2,0.46444444444444444,False,1.0,True,FAMILY_F
150,True,13,1,0.024423068391520548,0.039969202595348224,1.01076301212505,0.010705400944962754,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
152,True,17,1,0.04058276192138311,0.06551730913833517,0.9908811120852506,0.009160655409702676,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
155,True,11,1,0.03605845014508401,0.059269173287406864,1.0054631569883001,0.0054482745985764275,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
156,True,8,2,2.7662399044535335,4.146128746728237,0.36626020311737245,0.9277000024397026,0.51,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
163,True,17,1,0.019337093736961818,0.03342147122784079,1.017032764939067,0.016888932331827002,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
164,True,11,1,0.0323461886356001,0.05178579288777417,0.9766941761954859,0.02358060653506896,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
171,True,19,1,0.04844250393491189,0.08327448675664206,1.0135514803976386,0.013460277057294289,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
175,True,1,1,0.03747742105448142,0.06211317852591204,1.0114531693157578,0.01138795522607559,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
176,True,17,1,0.03548388999218535,0.05285101841398692,1.015839444591943,0.01571498626484042,1.0,True,,False,False,gcd_k_not_2,0.3333333333333333,False,1.0,True,FAMILY_F
179,True,23,1,0.03857327497865386,0.06487911931579086,0.9975909794332853,0.0024119257560906064,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
180,True,17,1,0.03559574511663161,0.055016036237697,1.012049705797875,0.011977542864028618,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
185,True,19,1,0.03296342847948492,0.055469907565617316,1.0093865684517311,0.009342720409407092,1.0,True,,False,False,gcd_k_not_2,0.2,False,1.0,True,FAMILY_F
187,True,1,1,0.023591889550547303,0.034680451214499426,0.9899102013521607,0.01014095876385093,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
189,True,23,1,0.039169187923525514,0.0656094712018212,0.9840130547755995,0.01611576615982365,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
190,True,11,1,0.023390656140416504,0.0396256043306604,1.0363853802449114,0.03573525973805159,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
194,True,29,1,0.031060861438259046,0.0478918772494727,1.0013174226381238,0.001316555408174342,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
200,True,1,1,0.027961565198130575,0.043896547497247196,0.998303039136017,0.0016984019247818353,1.0,True,,False,False,gcd_k_not_2,0.26666666666666666,False,1.0,True,FAMILY_F
204,True,28,2,2.7721999062320704,4.1550476991342675,0.36692605513218607,0.9262738719346361,0.4711111111111111,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
213,True,13,1,0.02901712313802496,0.04602361679892337,1.012206404562683,0.012132358325671725,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
218,True,29,1,0.02321034933934412,0.04004667621824378,1.027821513508036,0.027439805054544533,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
219,True,1,1,0.018937511297486196,0.029612717205712884,1.0149052793186084,0.01479501738528267,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
220,True,19,1,0.019728361977869556,0.03334291424248727,0.9344939663154741,0.06772420573561334,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
229,True,17,1,0.026695977984705577,0.03949537074804575,0.9975381357726318,0.0024648983499040386,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
233,True,23,1,0.03557747397196185,0.06195953585366803,1.0193527123404942,0.019167243267832795,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
235,True,19,1,0.044028543534374354,0.0725331333997826,1.0116272225637923,0.011560017117857013,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
236,True,22,2,2.7665880744002624,4.146649742194513,0.372954849228861,0.9134242850350505,0.5011111111111111,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
240,True,13,1,0.020635047127667176,0.03253655105284537,0.9967205743760813,0.003284811771865932,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
241,True,23,1,0.02011387256405744,0.033818130873172404,1.0131925517480362,0.013106100294858862,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
244,True,29,1,0.04499940088945461,0.07587923861513031,1.0008841537310262,0.0008837630398316347,1.0,True,,False,False,gcd_k_not_2,0.2777777777777778,False,1.0,True,FAMILY_F
245,True,13,1,0.02474604732412197,0.0388936094381145,1.0047061328222662,0.004695084975512967,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
246,True,29,1,0.040666966461418076,0.06293437537106632,0.9958189731729853,0.004189785630074089,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
249,True,11,1,0.025706941973766675,0.038109137283032904,1.0204631203316543,0.020255871167096925,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
250,True,4,2,2.7627607339650786,4.140922411356539,0.36933445583046426,0.9211271088436233,0.5133333333333333,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
252,True,19,1,0.019712277095851605,0.03414295654538672,1.041588697877456,0.040741504810144984,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
257,True,19,1,0.0466430884477092,0.07765266045930193,1.0029906171447682,0.0029861519261946126,1.0,True,,False,False,gcd_k_not_2,0.3333333333333333,False,1.0,True,FAMILY_F
260,True,17,1,0.043520717478767346,0.07037760781936074,1.007106656261736,0.007081493392057412,1.0,True,,False,False,gcd_k_not_2,0.1,False,1.0,True,FAMILY_F
261,True,7,1,0.027481145640997812,0.04188559316911942,0.9924203192002241,0.007608515860567404,1.0,True,,False,False,gcd_k_not_2,0.13333333333333333,False,1.0,True,FAMILY_F
262,True,23,1,0.029552752685172594,0.053959898369965974,0.971287647088403,0.029130556318358997,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
263,True,11,1,0.04001375814586939,0.06571209802614983,1.0049291312338093,0.004917012932797278,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
264,True,13,1,0.04462786592119611,0.07695945510637159,0.9985514571525411,0.001449592746060863,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
267,True,8,2,2.766199251698042,4.146068268305496,0.35702336590842937,0.9476279484121397,0.5,False,1.0,True,True,,0.3433333333333333,False,0.5,False,FAMILY_Q
268,True,7,1,0.034622400217420975,0.055639534162906006,1.007118021317556,0.00709277804489384,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
