net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg,rho_even,rho_odd,q_odd_over_even,radius_parity_separation
3,0,28,2,2.7536928284802986,0.4681980497281486,10.969176268202544,1.3904421093586634,4.127352493780887,8.402615318831176,-79.66008918642281,15.997244597096312,5.941107939308775,0.3713832031040618,0.9167631563126826
4,1,22,2,2.7630957215306298,0.4724416868079409,11.179754298118784,-1.7092919140750071,4.141423896703579,8.408989201818429,97.92877165533795,16.354716053524847,6.00479254271272,0.3671596940638134,0.9257737902660085
9,2,23,1,0.029080920022834095,0.058596477378357915,7.4715650017146045,0.9444598912385073,0.04478628797791417,0.1727141310434477,-54.113565688513525,7.413684115163559,7.529445888265651,1.0156146082438715,0.015493644648146282
12,3,11,1,0.038023541450458755,0.06989032059150238,7.566949714487186,2.082466499220619,0.06222233601978575,0.1899227664309435,-119.31654139412213,7.524233960501222,7.609665468473151,1.0113541801624464,0.01129008533099761
21,4,1,1,0.02829889466118749,0.06002179862934051,7.588822413147772,-0.8803463224114975,0.04446056950050027,0.14358062236257474,50.44012878247213,7.584642750433699,7.593002075861848,1.0011021383212375,0.0011015313013078543
22,5,7,1,0.028473465500587082,0.07024618740763716,7.515962982178364,-0.5483048922654079,0.044378079600910725,0.15730984901476508,31.41555621459956,7.430832300089291,7.6010936642674345,1.0229128255493127,0.02265329999387471
23,6,19,1,0.0330303950327956,0.06255335260874043,7.374580060178716,-2.6109323280040613,0.05205071404050423,0.16298452393585947,149.59540298858397,7.4350898473486895,7.314070273008742,0.983723186024026,0.016410368231464398
27,7,7,1,0.025433052673677473,0.06380465954930041,7.438332852386967,2.0430930570727326,0.04162873647680863,0.20333150450765305,-117.06060932547676,7.455481139462718,7.421184565311217,0.995399817461818,0.004610787770877327
29,8,11,1,0.03565884182241202,0.06445294039378767,7.37026786242785,3.0324620040574057,0.05980121139808594,0.21222061318217686,-173.74727435347148,7.387816223297999,7.352719501557703,0.9952493780733723,0.0047619329982850934
31,9,19,1,0.0324351741445816,0.04048114424154342,7.508714740424834,2.3586939871775847,0.05275418576888529,0.14527106641086615,-135.14321062899617,7.531623012418421,7.485806468431245,0.9939167767808305,0.006101782471574272
32,10,23,1,0.018727852732343956,0.07022759647600264,7.454651335168151,0.4571948308561013,0.03041017829158955,0.12272763292519669,-26.195334223903146,7.428898981033597,7.480403689302705,1.0069330204113156,0.0069090700494775096
33,11,11,1,0.02998161809459633,0.06342306627252232,7.417754884134184,-1.03935887383786,0.04826891796892847,0.16014519377351646,59.550876865927464,7.371650387977095,7.463859380291276,1.0125085954245159,0.012430849192847676
43,12,26,2,2.7647099050283868,0.4744015496392004,11.323201949265806,2.7021458053444762,4.143839419942019,8.411618330079515,-154.82800259589945,16.5882014463731,6.058202452158514,0.3652115313250612,0.9299488820737094
48,13,4,2,2.7609469749829154,0.4731448966366216,11.216651940224184,-0.25895851809827874,4.13820821708938,8.399725594578983,14.843656100796752,16.417723139951065,6.015580740497302,0.36640773444759356,0.927383898055221
51,14,29,1,0.04609077682345292,0.07173030324190206,7.5169567988947446,-0.24807767725324795,0.07200682954664299,0.2545449427792128,14.213803914076367,7.480868026353361,7.553045571436129,1.0096482847750425,0.009601963535746265
63,15,13,1,0.024034963047179482,0.05334181681416833,7.54489462146688,-2.057835671497171,0.03962038882693947,0.1403000596144411,117.90529891110158,7.580979092774972,7.508810150158789,0.9904802609619431,0.009565268467878453
