step,loss,mean_train_acc,mean_test_acc,mean_domain_acc,exact
1,3.27964186668396,0.08017775416374207,0.07000325620174408,0.0798385962843895,0
250,1.8422017097473145,0.3956536054611206,0.37533774971961975,0.394976407289505,0
500,1.4422050714492798,0.4921724796295166,0.45504558086395264,0.49093493819236755,0
750,1.2388169765472412,0.5141223669052124,0.46642252802848816,0.5125324726104736,144
1000,1.1184251308441162,0.5189203023910522,0.45987552404403687,0.5169521570205688,1646
1250,1.0381792783737183,0.5215398073196411,0.45349937677383423,0.5192717909812927,2242
1500,0.9831681847572327,0.5244243144989014,0.44892174005508423,0.5219075679779053,2296
1750,0.9458872079849243,0.5291920900344849,0.4456380605697632,0.5264069437980652,2299
2000,0.9191309213638306,0.5351105332374573,0.4426920711994171,0.532029926776886,2299
2250,0.897854745388031,0.5415092706680298,0.43956705927848816,0.53811115026474,2299
2500,0.8802434802055359,0.5473196506500244,0.43645021319389343,0.5436240434646606,2299
2750,0.8654434084892273,0.552902340888977,0.4315755367279053,0.5488581657409668,2299
3000,0.8527154922485352,0.5585438013076782,0.42502444982528687,0.5540931224822998,2299
3250,0.8412871360778809,0.565375566482544,0.42233482003211975,0.5606074929237366,2299
3500,0.83033287525177,0.5729007720947266,0.4230550229549408,0.5679059028625488,2299
3750,0.8190822005271912,0.5815967321395874,0.42615967988967896,0.576415479183197,2299
4000,0.8071789145469666,0.590964674949646,0.4305989742279053,0.5856192111968994,2299
4250,0.794636607170105,0.6006632447242737,0.4368489682674408,0.5952028036117554,2299
4500,0.7816533446311951,0.6102414131164551,0.4457763731479645,0.6047592163085938,2303
4750,0.7684945464134216,0.620820164680481,0.4609171748161316,0.6154900789260864,2329
5000,0.75535649061203,0.6332842111587524,0.48523765802383423,0.6283493041992188,2397
5250,0.7424491047859192,0.6459285020828247,0.5132161378860474,0.6415047645568848,2508
5500,0.7300687432289124,0.6567565202713013,0.5417236089706421,0.6529220342636108,2594
5750,0.7184833884239197,0.6646066308021545,0.5670491456985474,0.6613547205924988,2627
6000,0.7078144550323486,0.6701719760894775,0.5876261591911316,0.6674203872680664,2633
6250,0.6981544494628906,0.674330472946167,0.603710949420929,0.6719764471054077,2634
6500,0.6895422339439392,0.6771553158760071,0.61492919921875,0.6750811338424683,2634
6750,0.6819509267807007,0.6788246631622314,0.6220866441726685,0.6769332885742188,2634
7000,0.6752796173095703,0.68000328540802,0.6266032457351685,0.6782233715057373,2634
7250,0.6694253087043762,0.6811004281044006,0.629931628704071,0.6793948411941528,2634
7500,0.6642518639564514,0.6820470094680786,0.6322998404502869,0.6803887486457825,2634
7750,0.6596617698669434,0.6830064058303833,0.6341146230697632,0.6813766956329346,2634
8000,0.6555517315864563,0.6842019557952881,0.6358561515808105,0.6825904846191406,2634
