net,domain_exact,best_k,gcd_k_n,phase_mae_deg,mean_abs_deg,q_odd_over_even,radius_parity_separation,f_decoder_acc,f_decoder_exact,q_decoder_acc,q_decoder_exact,q_certified,q_break_at,composition_acc,composition_exact,substitution_acc,substitution_exact,family
2,True,1,1,0.1554801726769351,0.26228245771291714,0.9569819384487033,0.04396367764681268,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
3,True,11,1,0.12507713312453694,0.21382031137981744,1.0352631691307794,0.03465219600651418,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
5,True,1,1,0.23368368582370377,0.31250865801439065,1.006027200166571,0.006009091168923904,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
8,True,1,1,0.11981895824975976,0.19062511647093516,1.0321730640056128,0.03166370480494081,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
11,True,5,1,0.4607724237696842,0.7719718315069412,0.9998311047216962,0.0001689095423157963,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
13,True,1,1,0.1853980286476593,0.2991788615503671,0.9992386973718792,0.0007615925293178756,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
16,True,11,1,0.13208508231904542,0.19891749494014943,0.9521100061511691,0.049064851568741255,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
18,True,5,1,0.16121833459086604,0.2817429629461892,0.9916569566175188,0.008377992359337165,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
25,True,1,1,0.15229610266724516,0.2438972316320249,0.9980333759247606,0.0019685597837715654,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
26,True,7,1,0.1088820663533975,0.16754627312023776,0.97347289475163,0.026883678330640082,1.0,True,,False,False,gcd_k_not_2,1.0,True,1.0,True,FAMILY_F
31,True,11,1,0.09259851424333332,0.16840248555342616,1.0311693649774272,0.03069105463568616,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
33,True,11,1,0.15720449053856858,0.2322114646305943,0.9966471886378718,0.003358441472492132,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
34,True,11,1,0.1326786084284584,0.23816772221966676,0.92449970756643,0.07846225399435551,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
35,True,7,1,0.11280946612045864,0.166923963560694,1.0214243138697987,0.021197245647831462,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
36,True,5,1,0.13696263575769502,0.21401813521977203,1.0142146450278196,0.014114329932918597,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
38,True,5,1,0.12379011063093211,0.17975898899401427,1.016892753250317,0.016751265750837123,1.0,True,,False,False,gcd_k_not_2,1.0,True,1.0,True,FAMILY_F
42,True,5,1,0.12791448058742674,0.23931437571808833,1.0013202620422528,0.001319391071277711,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
45,True,1,1,0.09093471447653627,0.15042730943564658,1.0115794424076674,0.011512786583072098,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
47,True,7,1,0.14083342237956148,0.19967877287055624,0.9876338525292164,0.012443083976505946,1.0,True,,False,False,gcd_k_not_2,0.3333333333333333,False,1.0,True,FAMILY_F
52,True,5,1,0.1710164879442799,0.25949314391967016,0.9943421191168673,0.005673932099110564,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
64,True,1,1,0.15621559358542214,0.26032460960880627,1.0070364225345054,0.0070117537036221275,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
65,True,7,1,0.16757639472910144,0.2628444268404735,0.9880475793147229,0.012024280313650321,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
70,True,1,1,0.2915426479251088,0.46414297128217036,1.0078967985940237,0.007865741505791717,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
73,True,1,1,0.15547743547181841,0.2642938119066296,0.9857243831861104,0.014378245978915032,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
76,True,1,1,0.15197648214211926,0.23667441216194118,1.011908654460941,0.011838166145899635,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
77,True,7,1,0.29754648644897747,0.45681593437307505,0.9881595462319669,0.011910969409345027,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
79,True,1,1,0.2903932061802903,0.32008058578870907,1.0168188688007282,0.016678611114670346,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
85,True,5,1,0.12950859019586383,0.20175196801390627,1.0233221114549318,0.023053285804464765,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
86,True,11,1,0.1417646080493239,0.26282971433664065,1.0049502982059724,0.004938075732253276,1.0,True,,False,False,gcd_k_not_2,0.16666666666666666,False,1.0,True,FAMILY_F
90,True,7,1,0.12669461544697702,0.21565299799004364,1.0068472287409782,0.006823866453724861,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
93,True,11,1,0.11527073482397172,0.22000588336951307,0.8951610034291856,0.11063861738513428,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
96,True,11,1,0.14383054286800756,0.1852636391599132,0.9742829879337727,0.026052001889700728,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
103,True,11,1,0.08148687755229907,0.12294497407139064,0.9966198611188414,0.0033858612217394775,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
106,True,1,1,0.15202900393621238,0.22909881549424443,1.002582294765781,0.002578964941945579,1.0,True,,False,False,gcd_k_not_2,0.4166666666666667,False,1.0,True,FAMILY_F
108,True,5,1,0.27787194259240783,0.4334312952472673,1.0093717830863238,0.009328072749114739,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
110,True,11,1,0.1068320606720452,0.2174422928511526,0.9605499998192549,0.04024380932328375,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
114,True,1,1,0.11724246177715116,0.21824052498841268,1.0200849504724239,0.019885253308507444,1.0,True,,False,False,gcd_k_not_2,0.25,False,1.0,True,FAMILY_F
118,True,1,1,0.15053077834082867,0.2583071864054821,1.031092908740716,0.030616924126817654,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
123,True,5,1,0.1444522817642829,0.21382653505493623,1.0059221391783637,0.0059046550837604924,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
124,True,11,1,0.14541159287161498,0.2431768011837944,0.9991569860083693,0.0008433694777655969,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
126,True,11,1,0.10648740461901887,0.1912793337574824,1.0293912839279713,0.028965615611675603,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
133,True,7,1,0.1064789958466937,0.1725330784423989,1.139722640584021,0.13059883363750804,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
135,True,5,1,0.15031034209625221,0.2614255985885384,1.009002646673908,0.008962304443762318,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
139,True,7,1,0.14012860134690042,0.24284980777111323,1.0138730522295702,0.013777484349583277,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
141,True,5,1,0.16609777428833825,0.2825882767578301,0.960260408849467,0.0405452163101711,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
147,True,5,1,0.2367002062905306,0.3870749269753162,1.0084847056306783,0.008448862574747931,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
150,True,7,1,0.12422884530848617,0.20714074308674374,0.964158914309777,0.03649509765132009,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
153,True,11,1,0.14448879450640942,0.2450561578670696,1.0154114600650268,0.015293611622640585,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
156,True,1,1,0.22685064932716212,0.3279342334188456,0.98840758648756,0.011659997267378687,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
159,True,5,1,0.16605291984424936,0.26520255408986904,0.83038277652193,0.18533524861982634,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
165,True,7,1,0.10298458478088897,0.16090709977754508,1.0018052109418056,0.0018035830179064048,1.0,True,,False,False,gcd_k_not_2,0.4166666666666667,False,1.0,True,FAMILY_F
169,True,5,1,0.27555768229991706,0.4005187226701634,0.9954774797379586,0.004532770034202765,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
