net,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg
0,9,1,0.21253339116728884,0.09050388006293356,3.8540633072657746,0.23461102174495688,0.38262690211250616,1.0024627576576803,-13.442223206945219
1,3,1,0.2336432185913433,0.09301038758529205,3.947668786492925,-0.8010849867291002,0.3960669228389166,0.8119291133369423,45.898787297617076
2,2,2,9.125798697073815,0.5917928055548958,6.028503740736136,-2.7949570611771635,13.569953055666714,27.712437405007773,159.90175204315707
3,1,1,0.2309266806354967,0.03788125362439944,3.9169240405856627,-2.773703662719862,0.3532085293205405,1.0327465067760262,158.9215108854057
4,6,2,8.988556672081618,0.5735734605291753,5.720159034508959,-2.6658365166116496,13.369453707026661,27.328088745261468,152.51441799850272
5,7,1,0.187471267202653,0.06624303015319916,3.9649018391137583,1.842121815599357,0.3249628404307152,0.8502558728196105,-105.5458063901849
6,1,1,0.1691001480280841,0.027656715198373136,3.8541801984352047,-2.781978298386762,0.2781460851906869,0.7983352579003221,159.39561469232197
7,4,2,8.940918395269422,0.5908761219040366,5.899418854409077,1.5082203999883788,13.299819935207747,27.241811885461942,-86.63778158747738
8,8,2,8.928760951296072,0.5870071994865071,5.692526891146754,0.17255414345002634,13.28204435880329,27.072021504812188,-9.664429742814376
9,3,1,0.14794150029715483,0.10175837546418387,3.933447476476162,0.7960454560148418,0.24398457995944176,0.6822479794933844,-45.61004494870405
10,1,1,0.1634270597065046,0.0316103552129838,3.935052063000762,-0.42063223691744833,0.25321209115705845,0.6966767431553602,24.10045295855807
11,1,1,0.19781363769322238,0.0650360264405594,4.07059159470019,0.1304842816553779,0.29318756522539774,0.8108994845100289,-7.476200168683513
12,9,1,0.18745971369999717,0.0889924151869436,3.9211030445147883,-1.930489436182399,0.3424784325628351,0.9512526415064989,110.60889768915605
13,1,1,0.1433152506799298,0.04805103482743134,3.9401643677857274,-1.2954035179552932,0.23724583935762056,0.720116220845307,74.22115352956985
14,9,1,0.1545001007189226,0.06649747946586312,3.9196173282658195,2.0170392465511413,0.263602644327742,0.8761273642282419,-115.56783652358854
15,7,1,0.16485431729387143,0.04164123517836744,3.9432368648001868,-1.8142244767897957,0.2631689488734622,0.7681097432123306,103.94740647870168
16,1,1,0.1945477113764823,0.04851698644970782,3.9378599332891304,1.4747225708201424,0.2585684151454181,0.8006755227699603,-84.49537914875386
17,1,1,0.17597294314928255,0.10459775024151813,3.935665281364198,-1.337543828073412,0.3196561417760522,1.1178667300831506,76.63561524792178
18,9,1,0.26821067270940885,0.08745095159603582,4.1587634519498256,1.2924875878702995,0.49789613602682126,1.0995690388150654,-74.05408165687905
19,9,1,0.21541909390949004,0.04846878373087241,3.8591151181556915,-0.11697489292336596,0.2945101222876346,0.941317387571165,6.702167433743808
20,6,2,9.325331922917519,0.5662689692688463,5.70431839259629,-2.288733688976925,13.861150502308737,28.458583135299275,130.8810805143698
21,3,1,0.14164496564635043,0.0945175888859405,3.9851352863997414,-2.250081956137278,0.23675218618636923,0.5116179559811534,128.92019981938003
22,3,1,0.27390087385838696,0.06604285773941153,3.8013601657274805,1.7833777278356342,0.4330480381907661,1.2857323080884395,-102.1800202257061
23,1,1,0.13566925334875693,0.04492546167886255,4.065395128542862,-0.3694770153005262,0.23180428023233154,0.6068395915835186,21.16947430733178
