net,domain_exact,best_k,gcd_k_n,phase_mae_deg,mean_abs_deg,q_odd_over_even,radius_parity_separation,f_decoder_acc,f_decoder_exact,q_decoder_acc,q_decoder_exact,q_certified,q_break_at,composition_acc,composition_exact,substitution_acc,substitution_exact,family
0,True,9,1,0.17280170003668566,0.30721448034801796,0.9990900139247447,0.0009104003010536645,1.0,True,,False,False,gcd_k_not_2,0.6,False,1.0,True,FAMILY_F
1,True,3,1,0.18868098058916652,0.3153838643196313,0.9854172103063946,0.014689899551495217,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
5,True,2,2,8.972981393876678,13.346689285973772,0.26099010731989253,1.1721105318594427,0.46,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
6,True,1,1,0.18168804969005695,0.28704813901010606,1.0195371506489277,0.01934814681933416,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
8,True,6,2,8.795243295468337,13.08675522218441,0.26818543726964156,1.1541128627149817,0.45,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
11,True,7,1,0.16601133190988707,0.2824434482891252,1.0094476221773216,0.009403203221674204,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
13,True,1,1,0.1599281074635643,0.2661961686711313,0.9934350807707168,0.006586539278464974,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
14,True,4,2,8.708666793114554,12.96004257983227,0.25310107556148764,1.19208089276253,0.44,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
16,True,8,2,8.756352010501505,13.029841363413562,0.26099178865760514,1.1721063023401757,0.48,False,1.0,True,True,,0.25,False,0.5,False,FAMILY_Q
17,True,3,1,0.13182310662327265,0.22841243113502502,1.0460302008578584,0.044994644593768784,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
20,True,1,1,0.13506297050685886,0.21221150385167212,0.9821330489632887,0.018028003767008693,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
21,True,1,1,0.19474757584701644,0.2918437061992693,1.080424007033337,0.0773150153636429,1.0,True,,False,False,gcd_k_not_2,1.0,True,1.0,True,FAMILY_F
23,True,9,1,0.17356476129145115,0.33057240581741565,1.1417894836735993,0.13240281993578737,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
25,True,1,1,0.13147665147649495,0.2182377327100042,1.0011706456718932,0.0011699608670805387,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
29,True,9,1,0.1281203064329676,0.22592340935679095,1.0051367228310284,0.005123563667794151,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
30,True,7,1,0.13492359537880372,0.2169218356627077,1.0113299991121418,0.011266176228807117,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
31,True,1,1,0.1699805375133982,0.21463808505936743,0.960135442392675,0.040675309210942714,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
34,True,1,1,0.15441513555153588,0.2777427995212348,0.984260865006876,0.015863977635893586,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
38,True,9,1,0.22998227649757158,0.42258638068701027,0.9681103110849271,0.03240640398605878,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
40,True,9,1,0.176423997132621,0.241662768745718,1.0129164350120812,0.01283355313456283,1.0,True,,False,False,gcd_k_not_2,1.0,True,1.0,True,FAMILY_F
41,True,6,2,9.077595277747681,13.499552627726796,0.2697446496712659,1.1502396966473465,0.54,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
42,True,3,1,0.13299236153062916,0.22809467583711743,0.8702266167716413,0.13877824437379863,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
43,True,3,1,0.20122057370037322,0.30444139775539997,0.9890517663486575,0.011008495441463859,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
45,True,1,1,0.2224732360574691,0.39848415971259654,1.03459604567484,0.03400777834832076,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
47,True,1,1,0.11391045799090016,0.19691142256050714,1.0069647626904195,0.006940592899182545,1.0,True,,False,False,gcd_k_not_2,0.2,False,1.0,True,FAMILY_F
48,True,1,1,0.14665224433936092,0.27788263478154357,0.9526130877988526,0.04853691957433905,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
53,True,1,1,0.14489941031947665,0.20039813947760168,1.0744012265555387,0.07173272518651459,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
55,True,1,1,0.14437631522481806,0.26696562874796576,0.9615087467667032,0.03924657822377267,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
56,True,4,2,8.726003229469198,12.985420273388003,0.2623650360124262,1.168655567834204,0.58,False,1.0,True,True,,0.5,False,0.5,False,FAMILY_Q
57,True,7,1,0.19777322806132464,0.36419226535424765,0.9979892895538789,0.002012733958719149,1.0,True,,False,False,gcd_k_not_2,0.3,False,1.0,True,FAMILY_F
65,True,9,1,0.1938084610970393,0.35482672946844335,1.0479541447907061,0.046831268085455034,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
68,True,9,1,0.26033620858629847,0.41942282804355113,1.03983760141738,0.03905958139971433,1.0,True,,False,False,gcd_k_not_2,0.3,False,1.0,True,FAMILY_F
69,True,2,2,8.982372286648904,13.36041644576485,0.2734628947503452,1.1410416561718324,0.53,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
70,True,9,1,0.15269932588499027,0.23051831253438562,0.9892303818434424,0.010827924462502244,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
74,True,9,1,0.14258704369374167,0.22214481506802228,0.9966664201731622,0.0033391454808446718,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
75,True,3,1,0.17535302076492443,0.23366288351214587,1.0365775925413072,0.03592064714378458,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
76,True,9,1,0.16025711076355192,0.2751744921102206,0.9903893423314336,0.009657063032008542,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
77,True,7,1,0.18327127713085417,0.2807489371131558,0.9629661173542862,0.037732574513948895,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
82,True,6,2,8.818030263051,13.120095356647246,0.2686031818845715,1.153074229293518,0.52,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
84,True,9,1,0.12390649413430209,0.1875768744911523,1.0355485234520552,0.03492770920711733,1.0,True,,False,False,gcd_k_not_2,0.6,False,1.0,True,FAMILY_F
86,True,2,2,9.011394524822517,13.402832500882967,0.275283619779553,1.1365571845825517,0.47,False,1.0,True,True,,0.25,False,0.5,False,FAMILY_Q
87,True,7,1,0.12171464132526898,0.22816933270291972,0.9932204503491887,0.006802608963422566,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
88,True,3,1,0.3013036920847407,0.45520651306434184,1.0221290406655572,0.02188687291516649,1.0,True,,False,False,gcd_k_not_2,0.46,False,1.0,True,FAMILY_F
90,True,1,1,0.20795056566876746,0.3326364924534896,1.0859981897382678,0.08245279421748498,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
91,True,3,1,0.11223636715701879,0.21709060517103723,0.9482624064730327,0.0531115247669626,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
93,True,9,1,0.20006138561238138,0.3870542836208541,0.9939029468788363,0.006115696985861595,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
94,True,9,1,0.1553227971135751,0.22601256242935905,1.0441097357884987,0.04315789413476247,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
95,True,7,1,0.1699033859957134,0.2630777039933144,1.002044088179224,0.0020420011640033984,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
103,True,1,1,0.14628080401495117,0.22476059382243654,1.0093480483332162,0.009304558601453468,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
104,True,3,1,0.14517198504201803,0.22297211125218194,1.0636419420464354,0.061679248468195155,1.0,True,,False,False,gcd_k_not_2,0.9,False,1.0,True,FAMILY_F
111,True,9,1,0.16094740458400547,0.2731456243576962,0.9840664218282106,0.016061537049860925,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
112,True,9,1,0.2903501215094876,0.46905749691093107,1.0011140078943428,0.0011133877329807282,1.0,True,,False,False,gcd_k_not_2,0.5,False,1.0,True,FAMILY_F
113,True,7,1,0.20184111224672918,0.3050611975543694,1.005678521966818,0.005662444808203332,1.0,True,,False,False,gcd_k_not_2,0.98,False,1.0,True,FAMILY_F
115,True,7,1,0.1250822098600695,0.22055542868133998,1.03733595571921,0.03665174181450087,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
116,True,4,2,8.895927589457425,13.234035351365288,0.27045448913063147,1.1484795671328525,0.52,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
117,True,7,1,0.21402815277924536,0.3797559906713152,0.9582953682179458,0.04259279009581224,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
119,True,7,1,0.12910575649636935,0.2129754180170282,0.9977895078030133,0.0022129380381195342,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
122,True,7,1,0.10808082310860849,0.15956427629122946,0.9893181564404702,0.010739200790931432,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
123,True,6,2,8.79412263571221,13.085109381929477,3.795514911679126,1.1658872772435152,0.5,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
126,True,9,1,0.1488032095947159,0.2693857426236025,0.9866159377672675,0.013474232213977606,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
127,True,7,1,0.13294977389775509,0.21819900440955675,1.050433674075423,0.04919317772925705,1.0,True,,False,False,gcd_k_not_2,1.0,True,1.0,True,FAMILY_F
130,True,6,2,9.19395711725808,13.669462465261152,0.2741431062985736,1.1393647858128964,0.48,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
131,True,9,1,0.19363598248801353,0.29822509270667824,1.0656649909224212,0.06357758030560275,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
132,True,2,2,9.015935278953812,13.409466697712912,0.2674401337403385,1.1559676023479017,0.45,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
