net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg
0,0,9,1,0.17280170003668566,0.08597669341963167,3.8534866327266144,0.23802894806778085,0.30721448034801796,0.7449443358426575,-13.6380548950901
1,1,3,1,0.18868098058916652,0.08760298062553817,3.952279974930952,-0.7944411119078085,0.3153838643196313,0.6798433406592106,45.5181219949071
5,2,2,2,8.972981393876678,0.6179527286019633,6.006141558343929,-2.787546457123823,13.346689285973772,27.215009625976148,159.48908010669768
6,3,1,1,0.18168804969005695,0.04056636242560455,3.9289484427568455,-2.770678382126392,0.28704813901010606,0.9307011199060123,158.74817661331087
8,4,6,2,8.795243295468337,0.6083891454655956,5.7108087715715845,-2.64297687122441,13.08675522218441,26.719667851058166,151.21919987105858
11,5,7,1,0.16601133190988707,0.06505813815259798,3.9690345356118693,1.8391645461237178,0.2824434482891252,0.7719472815988226,-105.37636693482604
13,6,1,1,0.1599281074635643,0.029638593440976573,3.857693665458811,-2.7761821127942836,0.2661961686711313,0.7584394753793299,159.06351781439497
14,7,4,2,8.708666793114554,0.6288275583381339,5.893866408791639,1.519741958742107,12.96004257983227,26.470299952726396,-87.28071874531867
16,8,8,2,8.756352010501505,0.6177974455827637,5.679184679224866,0.16573610523128696,13.029841363413562,26.54424802130483,-9.286605932300876
17,9,3,1,0.13182310662327265,0.09616141583815921,3.9389925846219684,0.8005300320241223,0.22841243113502502,0.5417460071245571,-45.86699242011319
20,10,1,1,0.13506297050685886,0.03346917737961511,3.940766973928902,-0.4266960509715524,0.21221150385167212,0.6034660820687052,24.447883428911467
21,11,1,1,0.19474757584701644,0.06382294881716509,4.066657610574954,0.13878747570322608,0.2918437061992693,0.8646234690406271,-7.951938075047039
23,12,9,1,0.17356476129145115,0.08269134601313685,3.9220489060545938,-1.9315896059424829,0.33057240581741565,0.9688465668951913,110.67193245254171
25,13,1,1,0.13147665147649495,0.04660456935981821,3.9385775276254087,-1.2876954060219683,0.2182377327100042,0.6395741358931359,73.77951143403786
29,14,9,1,0.1281203064329676,0.06444044594452929,3.9200275790376984,2.0150652197219077,0.22592340935679095,0.7616125197933608,-115.4547329560445
30,15,7,1,0.13492359537880372,0.039319424096013175,3.9453070090276396,-1.8191975163833463,0.2169218356627077,0.6038770520420806,104.2323401878316
31,16,1,1,0.1699805375133982,0.05060288766390152,3.9522139709131467,1.4854298426250094,0.21463808505936743,0.7613132420465261,-85.10886080270555
34,17,1,1,0.15441513555153588,0.09589195319994571,3.9291095769170044,-1.3273994100306858,0.2777427995212348,0.8366105543211954,76.0543832782235
38,18,9,1,0.22998227649757158,0.08475942213281538,4.1526663810967275,1.2950510983581116,0.42258638068701027,0.9477433733999425,-74.20096088201997
40,19,9,1,0.176423997132621,0.05095509367313288,3.88137994951294,-0.10235530927320077,0.241662768745718,0.8596999034813474,5.864526944962779
