step,loss,mean_train_acc,mean_test_acc,mean_domain_acc,exact
1,2.9477548599243164,0.11080549657344818,0.09530916810035706,0.110101118683815,0
250,1.4705772399902344,0.5960310101509094,0.5699740648269653,0.5948466062545776,0
500,0.96599280834198,0.7112146615982056,0.6772571802139282,0.709671139717102,62
750,0.7230049967765808,0.7245499491691589,0.6843816637992859,0.7227240800857544,2473
1000,0.5856555700302124,0.7253187894821167,0.6752374172210693,0.723042368888855,3790
1250,0.5082342028617859,0.7254192233085632,0.6682406663894653,0.7228201627731323,3883
1500,0.4695081412792206,0.7254778742790222,0.6610995531082153,0.7225515842437744,3889
1750,0.45030859112739563,0.726206362247467,0.6506015062332153,0.7227697372436523,3892
2000,0.43997088074684143,0.7288305759429932,0.6346935033798218,0.7245515584945679,3892
2250,0.4335833191871643,0.7335662841796875,0.6224143505096436,0.7285138368606567,3892
2500,0.42864590883255005,0.7410962581634521,0.61834716796875,0.7355167269706726,3892
2750,0.423275351524353,0.7509728670120239,0.6201116442680359,0.7450246214866638,3892
3000,0.41554927825927734,0.7628792524337769,0.6241288781166077,0.7565723657608032,3892
3250,0.4040156900882721,0.7762231826782227,0.6309759020805359,0.7696210145950317,3903
3500,0.3886008858680725,0.7915575504302979,0.6449640393257141,0.7848941087722778,3965
3750,0.37059569358825684,0.809573769569397,0.6710149645805359,0.8032755851745605,4130
4000,0.35179054737091064,0.8279818296432495,0.7056163549423218,0.8224196434020996,4352
4250,0.33376097679138184,0.8441106677055359,0.7401123046875,0.8393833637237549,4462
4500,0.31755733489990234,0.8566429615020752,0.7741532325744629,0.8528933525085449,4488
4750,0.30371370911598206,0.8646887540817261,0.8019686937332153,0.8618378043174744,4494
5000,0.2923337519168854,0.8684977293014526,0.8207508325576782,0.8663274049758911,4496
5250,0.2831662595272064,0.8702316284179688,0.8323364853858948,0.86850905418396,4497
5500,0.2758404016494751,0.8710334897041321,0.8380682468414307,0.8695350289344788,4498
5750,0.26996102929115295,0.8718438744544983,0.8413974046707153,0.8704598546028137,4498
6000,0.2651965916156769,0.8724586963653564,0.8431785106658936,0.871127724647522,4498
6250,0.26128995418548584,0.8730666637420654,0.8439275622367859,0.8717421293258667,4498
6500,0.2580466568470001,0.8735055923461914,0.8441162109375,0.8721696138381958,4498
6750,0.25532156229019165,0.873894214630127,0.8440718650817871,0.8725386261940002,4498
7000,0.25300538539886475,0.8743730187416077,0.8443104028701782,0.8730064630508423,4498
7250,0.25101006031036377,0.874813437461853,0.8438942432403564,0.8734079599380493,4498
7500,0.2492765337228775,0.8752095699310303,0.8434892296791077,0.873767614364624,4498
7750,0.24775424599647522,0.8755167722702026,0.8429787158966064,0.8740377426147461,4498
8000,0.2464086264371872,0.8758336305618286,0.8426957726478577,0.8743273019790649,4498
