net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg,rho_even,rho_odd,q_odd_over_even,radius_parity_separation,domain_exact,f_decoder_exact,q_certified,q_break_at,composition_exact,substitution_exact,family
0,0,9,1,0.21253339116728884,0.09050388006293356,3.8540633072657746,0.23461102174495688,0.38262690211250616,1.0024627576576803,-13.442223206945219,3.8530008878756923,3.855125726655858,1.0005514763276728,0.0005513243065207991,True,True,False,gcd_k_not_2,False,True,FAMILY_F
1,1,3,1,0.2336432185913433,0.09301038758529205,3.947668786492925,-0.8010849867291002,0.3960669228389166,0.8119291133369423,45.898787297617076,3.9732534178199885,3.9220841551658623,0.9871215708455361,0.01296189356847857,True,True,False,gcd_k_not_2,False,True,FAMILY_F
5,2,2,2,9.125798697073815,0.5917928055548958,6.028503740736136,-2.7949570611771635,13.569953055666714,27.712437405007773,159.90175204315707,9.41200018599042,2.6450072954818493,0.28102499396662695,1.1224995756048515,True,False,True,,False,False,FAMILY_Q
6,3,1,1,0.2309266806354967,0.03788125362439944,3.9169240405856627,-2.773703662719862,0.3532085293205405,1.0327465067760262,158.9215108854057,3.8856713981031015,3.948176683068225,1.0160860964711624,0.01595774753798326,True,True,False,gcd_k_not_2,False,True,FAMILY_F
8,4,6,2,8.988556672081618,0.5735734605291753,5.720159034508959,-2.6658365166116496,13.369453707026661,27.328088745261468,152.51441799850272,8.832210144525892,2.6081079244920287,0.29529504867006656,1.0880995060600032,True,False,True,,False,False,FAMILY_Q
11,5,7,1,0.187471267202653,0.06624303015319916,3.9649018391137583,1.842121815599357,0.3249628404307152,0.8502558728196105,-105.5458063901849,3.9475918904111618,3.982211787816355,1.0087698775269263,0.008731590039296343,True,True,False,gcd_k_not_2,False,True,FAMILY_F
13,6,1,1,0.1691001480280841,0.027656715198373136,3.8541801984352047,-2.781978298386762,0.2781460851906869,0.7983352579003221,159.39561469232197,3.8619558816437936,3.8464045152266158,0.9959731890022113,0.004034934958020813,True,True,False,gcd_k_not_2,False,True,FAMILY_F
14,7,4,2,8.940918395269422,0.5908761219040366,5.899418854409077,1.5082203999883788,13.299819935207747,27.241811885461942,-86.63778158747738,9.203572196317879,2.5952655125002764,0.2819845878471598,1.120162315459042,True,False,True,,False,False,FAMILY_Q
16,8,8,2,8.928760951296072,0.5870071994865071,5.692526891146754,0.17255414345002634,13.28204435880329,27.072021504812188,-9.664429742814376,8.862404536401488,2.522649245892019,0.28464614039344244,1.1136979081063827,True,False,True,,False,False,FAMILY_Q
17,9,3,1,0.14794150029715483,0.10175837546418387,3.933447476476162,0.7960454560148418,0.24398457995944176,0.6822479794933844,-45.61004494870405,3.8474528018295233,4.019442151122801,1.044702133632801,0.04372483688211264,True,True,False,gcd_k_not_2,False,True,FAMILY_F
20,10,1,1,0.1634270597065046,0.0316103552129838,3.935052063000762,-0.42063223691744833,0.25321209115705845,0.6966767431553602,24.10045295855807,3.9659583875175435,3.9041457384839804,0.9844141962688988,0.015708216319360837,True,True,False,gcd_k_not_2,False,True,FAMILY_F
