net,domain_exact,best_k,gcd_k_n,phase_mae_deg,mean_abs_deg,q_odd_over_even,radius_parity_separation,f_decoder_acc,f_decoder_exact,q_decoder_acc,q_decoder_exact,q_certified,q_break_at,composition_acc,composition_exact,substitution_acc,substitution_exact,family
290,True,1,1,0.12249816110940802,0.2099420380888169,1.0323714113904445,0.031855802742568336,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
291,True,7,1,0.19883833538195209,0.3286358183015462,1.0761587830391042,0.07336508523459091,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
297,True,1,1,0.13367182019610013,0.261016779139325,1.010915693713964,0.010856440922000018,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
298,True,1,1,0.11362736054226191,0.1783562969625939,1.0194177131816553,0.019231002139782287,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
299,True,3,1,0.08088949599708557,0.12660869012883574,1.006063986179388,0.006045655792801715,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
300,True,3,1,0.15661486986154566,0.27338197691360216,1.0148654695009012,0.014755793601032255,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
301,True,9,1,0.14193919654187206,0.23537981693890334,1.0074200442228354,0.0073926174486397605,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
303,True,3,1,0.11959834871521405,0.1924450191197978,0.9977697237423951,0.0022327661002158714,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
304,True,1,1,0.2736926625630644,0.3637756032383613,1.0244882267590945,0.02419201696054963,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
305,True,2,2,9.325959605783378,13.862064430573687,0.3040182894075547,1.0674416398080517,0.47,False,1.0,True,True,,0.25,False,0.5,False,FAMILY_Q
306,True,7,1,0.21459173754243324,0.2986234307490624,0.9830722074224181,0.017072290675269552,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
309,True,3,1,0.16269365184058385,0.2923463890252049,1.0497462867027574,0.048538969945182635,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
310,True,9,1,0.10753338462233573,0.18618906529668955,0.9364682564439712,0.06561609604971795,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
312,True,1,1,0.17737370985964046,0.28982258194410443,1.0015405709778564,0.0015393852117659285,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
313,True,3,1,0.1537224551728409,0.2873393590228192,0.9878179309301178,0.012256725206399621,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
318,True,1,1,0.13224916231511,0.16711856552703208,0.9832648841010048,0.016876329564601816,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
320,True,9,1,0.18768748128567422,0.3309957165655001,0.9704798939823984,0.029962351920212286,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
324,True,4,2,9.250133510068835,13.751448194270107,0.29025174406361803,1.1001701942305402,0.48,False,1.0,True,True,,0.5,False,0.5,False,FAMILY_Q
326,True,1,1,0.19782473415983345,0.30677925188317795,1.0075779228290938,0.007549318751637662,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
327,True,3,1,0.12074172407845574,0.19929993320841868,0.9129976420503731,0.09095918995109344,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
329,True,7,1,0.2570654728190874,0.4306731684926739,1.0277165960431758,0.027337741474583836,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
330,True,9,1,0.11260886083364877,0.18186908464702303,0.9533673783107496,0.04774587945620118,1.0,True,,False,False,gcd_k_not_2,0.94,False,1.0,True,FAMILY_F
331,True,7,1,0.13803640232643002,0.22347772747086284,1.0904459174855472,0.08653265480729418,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
336,True,1,1,0.18794311160525415,0.2880930052165471,1.0152393569628495,0.01512411606114771,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
337,True,7,1,0.14073200255840373,0.23249145642243813,1.0352338894659159,0.03462392175000771,1.0,True,,False,False,gcd_k_not_2,0.61,False,1.0,True,FAMILY_F
338,True,8,2,10.035981185342415,14.89518234492498,3.4787844348919355,1.106900531126698,0.42,False,1.0,True,True,,0.0,False,0.5,False,FAMILY_Q
343,True,3,1,0.3820786055150373,0.6232489371470517,0.9972192604852126,0.0027846111539219383,1.0,True,,False,False,gcd_k_not_2,0.0,False,1.0,True,FAMILY_F
